,label,text
0,0,اذهب حتى نقطة جورونج ، مجنون .. متوفر فقط في بوفيه لا إي بوجيس بالعالم الكبير ...
1,0,طيب لار ... أمزح wif u oni ...
2,1,دخول مجاني في 2 في الأسبوع للفوز بنهائي كأس الاتحاد الإنجليزي tkts في 21 مايو 2005. أرسل FA إلى 87121 لتلقي سؤال الدخول (معدل النص القياسي) تطبق الشروط والأحكام 08452810075over18's
3,0,U dun أقول ذلك مبكرًا جدًا ... U c بالفعل ثم قل ...
4,0,لا أعتقد أنه يذهب إلى usf ، فهو يعيش هنا على الرغم من ذلك
5,1,FreeMsg مرحبًا يا عزيزي لقد مرت 3 أسابيع الآن ولا ترد أي كلمة! أود بعض المرح لك حتى الآن؟ TB طيب! XxX std chgs للإرسال ، Ã ¥ Â 1.50 جنيه إسترليني إلى rcv
6,0,حتى أخي لا يحب التحدث معي. يعاملونني مثل براءات الاختراع.
7,0,"بناءً على طلبك ، تم تعيين ""Melle Melle (Oru Minnaminunginte Nurungu Vettam)"" لتكون نغمة الاتصال الخاصة بك لجميع المتصلين. اضغط على * 9 لنسخ أصدقائك Callertune"
8,1,الفائز!! باعتبارك أحد عملاء الشبكة المميزين ، فقد تم اختيارك لتلقي جائزة Ã ¥ Â £ 900! للمطالبة اتصل على 09061701461. رمز المطالبة KL341. صالحة لمدة 12 ساعة فقط.
9,1,هل كان هاتفك المحمول 11 شهرًا أو أكثر؟ يحق لـ UR التحديث إلى أحدث الهواتف المحمولة الملونة مع الكاميرا مجانًا! اتصل بشركة Mobile Update Co مجانًا على الرقم 08002986030
10,0,سأعود إلى المنزل قريبًا ولا أريد التحدث عن هذه الأشياء بعد الآن ، ك؟ لقد بكيت بما فيه الكفاية اليوم.
11,1,ست فرص لربح كاش! من 100 إلى 20000 جنيه txt> CSH11 وإرسالها إلى 87575. التكلفة 150p / يوم ، 6 أيام ، 16+ تساندكس تطبق الرد HL 4 معلومات
12,1,العاجلة! لقد فزت بعضوية مجانية لمدة أسبوع في Ã ¥ Â £ 100،000 Prize Jackpot! أرسل الكلمة: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
13,0,لقد كنت أبحث عن الكلمات المناسبة لأشكرك على هذا الاستراحة. أعدك بأنني لن آخذ مساعدتك كأمر مسلم به وسأفي بوعدي. لقد كنت رائعة ونعمة في جميع الأوقات.
14,0,لدي موعد يوم الأحد مع ويل !!
15,1,XXXMobileMovieClub: لاستخدام رصيدك ، انقر على رابط WAP في رسالة النص التالية أو انقر هنا >> http: // wap. xxxmobilemovieclub.com؟n=QJKGIGHJJGCBL
16,0,أوه ك ... أنا أشاهد هنا :)
17,0,إيه تتذكر كيف 2 تهجئ اسمه ... نعم فعلت. هو v المشاغب حتى الرابع مبلل.
18,0,جيد إذا كان هذا هو ما تشعر به. هذا هو الطريق gota ب
19,1,مباراة إنجلترا أمام مقدونيا - لا تفوّت الأهداف / أخبار الفريق. أرسل فريقك الوطني إلى 87077 على سبيل المثال إنجلترا إلى 87077 جرب: WALES، SCOTLAND 4txt / ÃŒÂ¼1.20 POBOXox36504W45WQ 16+
20,0,هل هذا بجدية كيف تتهجى اسمه؟
21,0,سأحاول لمدة شهرين هاها فقط أمزح
22,0,لذا ÃŒ_ ادفعوا أولاً ... ثم متى يأتي دا الأوراق المالية ...
23,0,بعد أن أنهيت غدائي ثم أذهب إلى أسفل لور. ارض 3 سمث لور. هل انتهيت من غدائك بالفعل؟
24,0,Ffffffffff. حسنًا ، مستحيل أن ألتقي بك عاجلاً؟
25,0,فقط أجبرت نفسي على أكل شريحة. أنا حقا لست جائعا. هذا سيء. يشعر مارك بالقلق. إنه يعلم أنني مريض عندما أرفض البيتزا. لول
26,0,لول الخاص بك دائما مقنع جدا.
27,0,هل ركبت الحافلة؟ هل تقلى بيضة؟ هل صنعت شاي؟ هل تأكل ما تبقى من والدتك على العشاء؟ هل تشعر بحبي
28,0,لقد عدت & أمبير ؛ نحن نقوم بتعبئة السيارة الآن ، وسأخبرك إذا كان هناك مكان
29,0,أهه. عمل. أتذكر ذلك بشكل غامض! ما هو شعورك مثل؟ لول
30,0,انتظر ، هذا ليس كل هذا واضحًا ، هل لم تكن متأكدًا من كونك ساخرًا أو لهذا السبب لا يريد x العيش معنا
31,0,نعم ، لقد دخل في الساعة 2 وكان ضد الاعتذار. لقد سقطت وكانت تتصرف مثل الطفلة المدللة وقد وقع في ذلك. حتى 2! لكننا لن نذهب إلى هناك! لا تفعل هتافات سيئة للغاية. أنت؟
32,0,K قل لي أي شيء عنك.
33,0,خوفًا من الإغماء من كل تلك الأعمال المنزلية التي قمت بها للتو؟ بسرعة الحصول على فنجان
