,label,text
0,0,"Allez jusqu'au point de jurong, fou.. Disponible uniquement dans bugis n great world la e buffet... Ciné là-bas a plus de wat..."
1,0,Ok lar... Je plaisante avec toi oni...
2,1,Entrée gratuite dans 2 une compétition hebdomadaire pour gagner la finale de la FA Cup le 21 mai 2005. Envoyez FA au 87121 pour recevoir la question d'entrée (taux std txt) Les conditions générales s'appliquent 08452810075over18's
3,0,Tu ne dis pas si tôt hor... Tu dis déjà alors...
4,0,"Non, je ne pense pas qu'il aille à nous, il vit par ici cependant"
5,1,"FreeMsg Hey ma chérie ça fait 3 semaines maintenant et pas de réponse ! J'aimerais que tu t'amuses encore ? Tb ok ! XxX std chgs à envoyer, Ã¥Â£1.50 à rcv"
6,0,Même mon frère n'aime pas parler avec moi. Ils me traitent comme des aides patentes.
7,0,"Selon votre demande, ""Melle Melle (Oru Minnaminunginte Nurungu Vettam)"" a été définie comme votre callertune pour tous les appelants. Appuyez sur *9 pour copier vos amis Callertune"
8,1,"GAGNANT!! En tant que client précieux du réseau, vous avez été sélectionné pour recevoir une récompense de 900 £ ! Pour réclamer, appelez le 09061701461. Code de réclamation KL341. Valable 12 heures seulement."
9,1,Vous avez eu votre mobile 11 mois ou plus ? UR a le droit de mettre à jour gratuitement les derniers mobiles couleur avec caméra ! Appelez GRATUITEMENT The Mobile Update Co au 08002986030
10,0,"Je vais bientôt rentrer et je ne veux plus parler de ça ce soir, k? J'ai assez pleuré aujourd'hui."
11,1,"SIX chances de gagner de l'ARGENT ! De 100 à 20 000 livres txt> CSH11 et envoyer au 87575. Coût 150p/jour, 6 jours, 16+ TsandCs s'appliquent Répondre HL 4 info"
12,1,URGENT! Vous avez gagné un abonnement GRATUIT d'une semaine à notre jackpot de 100 000 £ ! Envoyez le mot : RÉCLAMATION au n° : 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
13,0,Je cherchais les mots justes pour vous remercier de cette pause. Je promets que je ne prendrai pas votre aide pour acquise et que je remplirai ma promesse. Vous avez été merveilleux et une bénédiction à tout moment.
14,0,J'AI RDV DIMANCHE AVEC WILL !!
15,1,"XXXMobileMovieClub : Pour utiliser votre crédit, cliquez sur le lien WAP dans le prochain message txt ou cliquez ici>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
16,0,Oh k... je regarde ici :)
17,0,Eh tu te souviens comment 2 épelle son nom... Oui je l'ai fait. Il fait vilain jusqu'à ce qu'il soit mouillé.
18,0,Bien si c'est ce que tu ressens. C'est comme ça que c'est gota b
19,1,"Angleterre v Macédoine - ne manquez pas les buts/actualités de l'équipe. Txt votre équipe nationale au 87077, par exemple l'ANGLETERRE au 87077 Try:WALES, SCOTLAND 4txt/ÃŒÂ¼1.20 POBOXox36504W45WQ 16+"
20,0,C'est vraiment comme ça que tu épeles son nom ?
21,0,Je vais essayer pendant 2 mois ha ha je plaisante
22,0,Alors payez d'abord lar... Alors quand est-ce que le stock arrive...
23,0,"Après avoir fini mon déjeuner, je descends ensuite. Ard 3 qch lor. Tu as déjà fini ton déjeuner ?"
