,0
0,1
1,0
2,0
3,0
4,1
5,0
6,1
7,0
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,0
18,1
19,0
20,1
21,0
22,1
23,0
24,1
25,1
26,0
27,0
28,1
29,0
30,1
31,1
32,0
33,1
34,1
35,0
36,0
37,1
38,0
39,0
40,0
41,1
42,1
43,0
44,1
45,0
46,1
47,0
48,1
49,0
50,1
51,1
52,1
53,0
54,1
55,0
56,0
57,0
58,0
59,1
60,0
61,1
62,0
63,1
64,0
65,0
66,1
67,1
68,1
69,0
70,0
71,1
72,0
73,0
74,1
75,1
76,1
77,1
78,1
79,1
80,0
81,0
82,1
83,0
84,1
85,0
86,0
87,1
88,1
89,1
90,0
91,0
92,0
93,1
94,1
95,1
96,1
97,1
98,0
99,0
100,1
101,1
102,0
103,0
104,1
105,0
106,0
107,0
108,1
109,1
110,0
111,0
112,0
113,1
114,0
115,1
116,0
117,1
118,0
119,1
120,0
121,0
122,0
123,1
124,0
125,1
126,1
127,0
128,1
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,0
140,1
141,1
142,1
143,0
144,0
145,0
146,0
147,1
148,1
149,0
150,1
151,0
152,1
153,1
154,1
155,0
156,0
157,0
158,0
159,1
160,0
161,0
162,1
163,0
164,0
165,0
166,1
167,0
168,1
169,0
170,1
171,0
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,0
181,1
182,0
183,1
184,1
185,1
186,1
187,0
188,1
189,1
190,1
191,0
192,0
193,1
194,0
195,1
196,0
197,0
198,1
199,0
200,0
201,1
202,1
203,0
204,1
205,1
206,1
207,1
208,0
209,1
210,1
211,0
212,1
213,1
214,0
215,1
216,1
217,1
218,1
219,0
220,0
221,1
222,1
223,1
224,1
225,0
226,1
227,1
228,1
229,1
230,1
231,0
232,1
233,0
234,0
235,0
236,1
237,1
238,1
239,1
240,0
241,0
242,0
243,0
244,1
245,0
246,1
247,0
248,0
249,0
250,1
251,1
252,1
253,0
254,1
255,0
256,0
257,1
258,0
259,1
260,0
261,1
262,0
263,0
264,1
265,0
266,1
267,1
268,1
269,0
270,0
271,1
272,1
273,0
274,0
275,0
276,1
277,0
278,1
279,1
280,1
281,0
282,1
283,0
284,0
285,0
286,1
287,0
288,0
289,0
290,0
291,1
292,1
293,1
294,0
295,1
296,0
297,1
298,1
299,1
300,1
301,0
302,1
303,0
304,1
305,1
306,1
307,0
308,0
309,1
310,0
311,0
312,1
313,0
314,0
315,0
316,0
317,0
318,0
319,1
320,0
321,0
322,1
323,0
324,0
325,0
326,0
327,1
328,0
329,1
330,0
331,0
332,1
333,0
334,1
335,0
336,1
337,0
338,1
339,1
340,0
341,1
342,1
343,1
344,1
345,0
346,0
347,1
348,0
349,1
350,0
351,1
352,1
353,0
354,0
355,0
356,0
357,1
358,1
359,0
360,1
361,0
362,1
363,0
364,0
365,0
366,0
367,0
368,1
369,1
370,0
371,1
372,1
373,1
374,1
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,1
383,1
384,1
385,0
386,1
387,1
388,1
389,0
390,0
391,0
392,1
393,1
394,0
395,1
396,0
397,0
398,0
399,1
400,0
401,0
402,1
403,0
404,0
405,1
406,0
407,0
408,0
409,0
410,1
411,0
412,0
413,1
414,1
415,0
416,0
417,0
418,0
419,0
420,0
421,1
422,0
423,1
424,0
425,1
426,1
427,0
428,0
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,0
437,1
438,0
439,0
440,1
441,1
442,0
443,0
444,1
445,1
446,0
447,1
448,0
449,0
450,0
451,1
452,1
453,0
454,1
455,0
456,0
457,1
458,1
459,0
460,0
461,0
462,1
463,1
464,0
465,0
466,1
467,0
468,1
469,0
470,1
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,1
481,1
482,0
483,0
484,1
485,1
486,1
487,0
488,0
489,1
490,0
491,1
492,1
493,0
494,0
495,1
496,1
497,1
498,1
499,0
500,1
501,1
502,0
503,1
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,1
513,1
514,0
515,0
516,0
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,0
525,1
526,0
527,1
528,1
529,0
530,1
531,0
532,1
533,0
534,1
535,1
536,1
537,1
538,0
539,0
540,0
541,0
542,0
543,1
544,1
545,0
546,1
547,0
548,1
549,1
550,0
551,1
552,1
553,1
554,1
555,0
556,0
557,1
558,1
559,0
560,0
561,0
562,1
563,1
564,0
565,0
566,0
567,0
568,1
569,1
570,0
571,0
572,1
573,1
574,0
575,0
576,1
577,0
578,0
579,1
580,0
581,1
582,0
583,0
584,0
585,1
586,1
587,0
588,1
589,0
590,0
591,0
592,1
593,0
594,1
595,0
596,1
597,1
598,1
599,0
600,1
601,1
602,0
603,0
604,1
605,1
606,0
607,1
608,1
609,1
610,1
611,0
612,1
613,0
614,0
615,0
616,1
617,0
618,0
619,1
620,0
621,0
622,1
623,0
624,1
625,1
626,0
627,0
628,1
629,0
630,1
631,0
632,0
633,0
634,1
635,1
636,0
637,1
638,1
639,1
640,0
641,1
642,0
643,1
644,1
645,0
646,0
647,1
648,1
649,0
650,0
651,0
652,0
653,1
654,0
655,1
656,1
657,1
658,1
659,1
660,0
661,1
662,0
663,0
664,1
665,0
666,1
667,0
668,0
669,1
670,1
671,0
672,1
673,1
674,1
675,1
676,0
677,0
678,1
679,1
680,0
681,0
682,1
683,1
684,1
685,0
686,1
687,0
688,1
689,1
690,0
691,0
692,0
693,1
694,0
695,0
696,1
697,0
698,1
699,0
700,0
701,1
702,0
703,0
704,1
705,1
706,0
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,0
716,0
717,0
718,1
719,0
720,1
721,0
722,0
723,1
724,1
725,0
726,0
727,0
728,1
729,0
730,0
731,1
732,0
733,1
734,0
735,1
736,1
737,1
738,1
739,0
740,0
741,0
742,1
743,0
744,0
745,1
746,1
747,1
748,1
749,1
750,1
751,0
752,0
753,1
754,1
755,1
756,0
757,0
758,0
759,0
760,0
761,1
762,1
763,1
764,0
765,1
766,1
767,1
768,0
769,1
770,1
771,1
772,1
773,0
774,1
775,0
776,0
777,0
778,1
779,0
780,1
781,0
782,0
783,1
784,0
785,0
786,0
787,0
788,1
789,1
790,0
791,1
792,0
793,0
794,1
795,0
796,0
797,0
798,0
799,1
800,1
801,1
802,0
803,0
804,0
805,1
806,0
807,1
808,1
809,1
810,1
811,1
812,0
813,1
814,0
815,1
816,0
817,1
818,0
819,1
820,0
821,0
822,0
823,1
824,0
825,0
826,1
827,0
828,0
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,0
837,0
838,0
839,0
840,0
841,0
842,1
843,1
844,1
845,1
846,0
847,1
848,1
849,1
850,1
851,1
852,1
853,0
854,1
855,1
856,0
857,0
858,0
859,0
860,0
861,0
862,1
863,0
864,0
865,1
866,1
867,1
868,1
869,1
870,0
871,0
872,1
873,0
874,1
875,0
876,1
877,1
878,1
879,0
880,1
881,1
882,0
883,1
884,1
885,1
886,1
887,1
888,0
889,1
890,0
891,0
892,1
893,0
894,1
895,1
896,1
897,0
898,0
899,1
900,0
901,1
902,0
903,1
904,1
905,0
906,0
907,0
908,1
909,1
910,1
911,1
912,0
913,1
914,1
915,1
916,1
917,0
918,0
919,1
920,0
921,0
922,1
923,1
924,1
925,1
926,0
927,0
928,1
929,1
930,0
931,0
932,1
933,1
934,0
935,0
936,0
937,1
938,1
939,1
940,1
941,1
942,1
943,1
944,0
945,1
946,1
947,1
948,1
949,1
950,1
951,0
952,0
953,0
954,0
955,0
956,1
957,0
958,0
959,1
960,0
961,1
962,0
963,1
964,0
965,1
966,1
967,1
968,1
969,1
970,1
971,1
972,1
973,0
974,0
975,1
976,0
977,0
978,1
979,1
980,0
981,1
982,0
983,1
984,0
985,1
986,1
987,1
988,0
989,0
990,0
991,0
992,0
993,0
994,1
995,0
996,1
997,1
998,0
999,1
1000,0
1001,0
1002,1
1003,0
1004,0
1005,0
1006,1
1007,0
1008,1
1009,1
1010,0
1011,0
1012,0
1013,1
1014,1
1015,0
1016,0
1017,1
1018,0
1019,1
1020,1
1021,0
1022,1
1023,0
1024,0
1025,1
1026,0
1027,0
1028,1
1029,0
1030,1
1031,0
1032,0
1033,1
1034,1
1035,0
1036,0
1037,0
1038,1
1039,0
1040,1
1041,0
1042,1
1043,1
1044,1
1045,1
1046,0
1047,1
1048,1
1049,0
1050,1
1051,0
1052,0
1053,1
1054,1
1055,0
1056,1
1057,1
1058,0
1059,0
1060,0
1061,1
1062,0
1063,1
1064,1
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,1
1072,0
1073,0
1074,1
1075,1
1076,1
1077,1
1078,1
1079,1
1080,1
1081,1
1082,0
1083,0
1084,1
1085,0
1086,1
1087,0
1088,1
1089,1
1090,1
1091,1
1092,0
1093,1
1094,1
1095,1
1096,1
1097,1
1098,1
1099,0
1100,1
1101,1
1102,1
1103,0
1104,0
1105,0
1106,1
1107,1
1108,1
1109,0
1110,0
1111,0
1112,0
1113,0
1114,1
1115,0
1116,1
1117,1
1118,1
1119,0
1120,1
1121,0
1122,0
1123,0
1124,0
1125,1
1126,1
1127,1
1128,0
1129,0
1130,1
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,1
1141,0
1142,1
1143,0
1144,0
1145,1
1146,0
1147,1
1148,1
1149,1
1150,1
1151,0
1152,0
1153,1
1154,0
1155,0
1156,1
1157,1
1158,1
1159,1
1160,0
1161,0
1162,1
1163,1
1164,0
1165,0
1166,0
1167,0
1168,1
1169,0
1170,0
1171,0
1172,0
1173,0
1174,1
1175,1
1176,0
1177,1
1178,1
1179,0
1180,0
1181,1
1182,1
1183,1
1184,1
1185,0
1186,1
1187,0
1188,1
1189,0
1190,1
1191,0
1192,0
1193,1
1194,0
1195,1
1196,0
1197,0
1198,1
1199,1
1200,1
1201,0
1202,0
1203,0
1204,0
1205,1
1206,1
1207,1
1208,0
1209,0
1210,1
1211,0
1212,1
1213,1
1214,0
1215,1
1216,0
1217,1
1218,0
1219,0
1220,0
1221,1
1222,0
1223,0
1224,1
1225,1
1226,0
1227,1
1228,0
1229,0
1230,0
