,0
0,1
1,1
2,1
3,1
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,1
12,0
13,1
14,0
15,0
16,1
17,1
18,1
19,0
20,1
21,1
22,0
23,0
24,1
25,1
26,1
27,0
28,0
29,1
30,1
31,1
32,1
33,1
34,0
35,1
36,1
37,0
38,0
39,0
40,0
41,1
42,1
43,0
44,1
45,0
46,0
47,0
48,1
49,1
50,1
51,0
52,1
53,1
54,0
55,0
56,0
57,1
58,1
59,0
60,0
61,1
62,0
63,0
64,0
65,1
66,0
67,1
68,0
69,1
70,1
71,1
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,1
83,0
84,1
85,1
86,1
87,1
88,1
89,0
90,0
91,0
92,0
93,0
94,1
95,1
96,1
97,0
98,1
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,0
107,1
108,1
109,0
110,1
111,0
112,1
113,0
114,0
115,1
116,1
117,0
118,0
119,0
120,0
121,0
122,1
123,0
124,1
125,0
126,1
127,0
128,0
129,0
130,1
131,1
132,0
133,0
134,0
135,1
136,0
137,0
138,0
139,1
140,0
141,1
142,0
143,0
144,0
145,1
146,1
147,1
148,1
149,0
150,1
151,0
152,0
153,0
154,0
155,0
156,0
157,1
158,1
159,1
160,1
161,1
162,0
163,1
164,1
165,0
166,0
167,0
168,1
169,1
170,0
171,0
172,0
173,1
174,0
175,0
176,0
177,1
178,0
179,1
180,1
181,1
182,0
183,0
184,0
185,0
186,0
187,1
188,1
189,1
190,0
191,1
192,1
193,0
194,1
195,0
196,1
197,0
198,0
199,1
200,0
201,0
202,1
203,1
204,1
205,0
206,0
207,1
208,1
209,0
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,0
218,1
219,0
220,1
221,0
222,1
223,0
224,0
225,1
226,0
227,1
228,1
229,1
230,0
231,1
232,0
233,1
234,0
235,1
236,0
237,1
238,0
239,0
240,0
241,0
242,0
243,0
244,1
245,0
246,0
247,0
248,1
249,1
250,0
251,0
252,0
253,1
254,1
255,1
256,1
257,0
258,1
259,0
260,0
261,1
262,0
263,0
264,0
265,0
266,1
267,1
268,0
269,0
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,0
281,1
282,0
283,0
284,0
285,0
286,0
287,0
288,1
289,1
290,1
291,1
292,0
293,1
294,1
295,0
296,0
297,0
298,0
299,1
300,1
301,0
302,1
303,0
304,1
305,0
306,0
307,0
308,1
309,1
310,1
311,1
312,0
313,0
314,1
315,0
316,0
317,1
318,0
319,1
320,1
321,1
322,0
323,1
324,1
325,0
326,0
327,1
328,0
329,0
330,0
331,1
332,1
333,1
334,1
335,0
336,1
337,0
338,1
339,1
340,0
341,1
342,1
343,1
344,0
345,1
346,0
347,0
348,1
349,0
350,1
351,0
352,1
353,0
354,0
355,1
356,0
357,0
358,1
359,1
360,0
361,1
362,1
363,0
364,1
365,0
366,0
367,1
368,0
369,1
370,1
371,1
372,0
373,1
374,1
375,1
376,0
377,1
378,1
379,0
380,0
381,1
382,1
383,0
384,1
385,0
386,0
387,1
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,1
397,1
398,0
399,0
400,1
401,0
402,1
403,0
404,0
405,1
406,1
407,0
408,0
409,1
410,0
411,0
412,1
413,0
414,1
415,1
416,0
417,1
418,1
419,1
420,1
421,1
422,1
423,0
424,1
425,1
426,0
427,0
428,1
429,0
430,0
431,0
432,0
433,1
434,1
435,0
436,0
437,0
438,0
439,1
440,0
441,1
442,0
443,1
444,1
445,0
446,0
447,0
448,1
449,1
450,0
451,1
452,0
453,0
454,1
455,1
456,1
457,0
458,0
459,1
460,1
461,0
462,1
463,0
464,1
465,0
466,1
467,1
468,0
469,1
470,0
471,1
472,1
473,0
474,1
475,1
476,1
477,1
478,0
479,1
480,1
481,1
482,0
483,0
484,0
485,1
486,0
487,1
488,0
489,0
490,1
491,1
492,1
493,0
494,1
495,0
496,1
497,0
498,1
499,0
500,1
501,0
502,1
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,1
511,0
512,0
513,0
514,1
515,1
516,0
517,1
518,0
519,0
520,1
521,0
522,1
523,0
524,1
525,1
526,0
527,0
528,1
529,0
530,0
531,0
532,0
533,1
534,1
535,0
536,0
537,1
538,0
539,0
540,1
541,0
542,0
543,0
544,1
545,1
546,0
547,0
548,0
549,0
550,1
551,0
552,1
553,1
554,1
555,0
556,0
557,0
558,0
559,0
560,1
561,0
562,0
563,0
564,0
565,1
566,1
567,1
568,0
569,0
570,0
571,0
572,1
573,1
574,0
575,1
576,1
577,1
578,0
579,0
580,1
581,0
582,1
583,0
584,0
585,1
586,0
587,1
588,1
589,0
590,1
591,0
592,1
593,0
594,1
595,1
596,0
597,0
598,0
599,0
600,1
601,0
602,1
603,0
604,1
605,1
606,0
607,1
608,1
609,0
610,0
611,0
612,1
613,0
614,0
615,0
616,1
617,1
618,0
619,1
620,1
621,0
622,0
623,0
624,1
625,1
626,0
627,0
628,1
629,0
630,1
631,0
632,1
633,1
634,0
635,1
636,0
637,1
638,1
639,0
640,1
641,0
642,1
643,0
644,0
645,1
646,0
647,1
648,1
649,0
650,0
651,1
652,1
653,1
654,1
655,0
656,0
657,1
658,0
659,1
660,0
661,1
662,0
663,0
664,1
665,1
666,0
667,0
668,1
669,0
670,1
671,1
672,1
673,1
674,0
675,0
676,0
677,0
678,0
679,0
680,1
681,0
682,0
683,1
684,1
685,0
686,1
687,0
688,0
689,0
690,1
691,0
692,0
693,0
694,1
695,1
696,1
697,1
698,0
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,0
707,1
708,1
709,1
710,0
711,0
712,0
713,1
714,0
715,0
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,0
726,1
727,1
728,0
729,1
730,0
731,1
732,0
733,1
734,0
735,1
736,1
737,1
738,0
739,0
740,0
741,0
742,1
743,0
744,0
745,0
746,0
747,1
748,0
749,0
750,1
751,0
752,0
753,0
754,0
755,0
756,1
757,0
758,1
759,0
760,0
761,1
762,0
763,0
764,0
765,1
766,0
767,1
768,0
769,1
770,1
771,0
772,1
773,0
774,1
775,0
776,0
777,0
778,1
779,1
780,0
781,0
782,1
783,0
784,0
785,1
786,1
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,1
796,1
797,0
798,1
799,0
800,0
801,1
802,1
803,1
804,0
805,0
806,0
807,1
808,1
809,0
810,1
811,1
812,1
